index,brewery_id,beer_beerid,review_profilename,review_taste,user_idx,item_idx,predicted_taste
1011874,143,1352,1099,4.0,17,682,3.861970327241287
326714,447,1719,1099,3.0,17,886,2.7774021526834076
325202,447,1731,1099,2.5,17,898,2.8878186338378575
104859,655,1798,1099,4.0,17,931,3.970899364898607
655805,57,1907,1099,3.0,17,978,3.438168814090658
691270,252,35625,05Harley,4.5,4,18252,4.1242982673552975
994359,15237,38334,05Harley,4.5,4,19646,4.2002801145441975
800782,18149,38530,05Harley,4.0,4,19743,4.300800124544899
775590,42,38818,05Harley,3.5,4,19913,3.459075807379494
915551,6045,40164,05Harley,3.5,4,20650,3.787398677351505
639744,30,1490,100floods,3.5,12,753,3.701821028246651
164605,610,1658,100floods,4.0,12,849,3.9495192598655473
846013,72,1934,100floods,4.0,12,991,4.022567993365425
424691,697,2013,100floods,4.5,12,1050,3.802827272907187
968500,222,2566,100floods,3.0,12,1320,3.5020321255438165
195255,1627,4557,1759Girl,4.0,36,2306,3.3177066553530943
550735,1306,4702,1759Girl,4.0,36,2395,3.048259737323551
75198,140,5436,1759Girl,3.0,36,2833,3.6909419806117403
576123,2210,5643,1759Girl,3.5,36,2974,4.042387253159274
849203,562,5655,1759Girl,4.0,36,2981,3.293067323522354
722552,689,24403,1fastz28,4.0,55,12469,3.491947422979086
548199,583,25044,1fastz28,3.5,55,12812,3.8630848699501326
750688,148,25989,1fastz28,4.5,55,13310,3.8454954955854808
315194,35,34832,1fastz28,4.0,55,17855,3.5075013950146037
303611,35,34833,1fastz28,4.5,55,17856,3.9299386346579874
447595,590,1585,2xHops,4.5,101,812,4.441039684833413
85632,140,1904,2xHops,4.0,101,975,4.101086785432315
984006,751,2296,2xHops,3.5,101,1170,3.608997023859071
968479,222,2566,2xHops,4.0,101,1320,3.625903204054031
646728,30,2729,2xHops,3.5,101,1410,3.7936599249401155
913933,6045,42930,321jeff,5.0,107,22255,4.344068107742576
858606,13307,69543,321jeff,4.5,107,37803,4.0413281101633745
30501,1199,55900,321jeff,4.0,107,29700,4.148644434701065
378489,27039,16814,321jeff,5.0,107,8595,4.522337070329429
802812,18149,60886,321jeff,4.0,107,32561,4.295079806776495
464987,392,23555,Backer2004,3.5,888,12038,3.563623839078443
66263,161,18290,Backer2004,4.0,888,9342,3.3872151597263245
65919,161,2350,Backer2004,3.5,888,1207,3.109675293506388
77880,140,2671,Backer2004,5.0,888,1377,4.266630002505568
6980,3282,8422,Backer2004,3.5,888,4536,4.108232478585248
330029,1168,11482,baconsausage,4.5,12568,5982,3.6617763445128975
16273,1199,47658,baconsausage,3.0,12568,24996,4.151862616301459
481630,388,47088,baconsausage,4.0,12568,24636,3.973584491258745
829494,267,63543,baconsausage,3.5,12568,34157,3.6211365957142285
732831,1170,45334,baconsausage,2.5,12568,23626,3.4594407544376327
303236,35,108,becktone,3.5,12837,53,3.0357937037340994
553862,467,2782,becktone,4.0,12837,1440,3.7370114833885735
606507,4110,8708,becktone,3.5,12837,4673,3.436570416230004
554898,467,38467,becktone,3.0,12837,19707,3.7222083421891816
1003598,10991,36688,becktone,3.5,12837,18825,3.704302414490032
917591,160,236,Boilermaker88,3.5,1730,125,3.670750062024164
906156,142,1944,Boilermaker88,4.0,1730,996,3.613854467566704
436472,1498,25625,Boilermaker88,3.0,1730,13107,3.085572031099468
1023590,353,4308,Boilermaker88,3.0,1730,2215,1.7237372466552852
1024059,353,3998,Boilermaker88,2.5,1730,2042,2.089886372648545
472907,392,1566,dasenebler,3.5,15651,802,3.357153277643726
656824,57,1283,dasenebler,4.0,15651,644,3.0406583606599296
996441,15237,36198,dasenebler,5.0,15651,18550,3.883087578424427
579350,2210,50697,dasenebler,4.5,15651,26779,3.886186135377453
456185,23922,65518,dasenebler,3.5,15651,35362,3.1571973129114794
127737,877,3967,EStreet20,3.0,3668,2019,3.004370286913692
391082,3,6,EStreet20,4.0,3668,3,3.50224456699266
442029,1646,5451,EStreet20,3.0,3668,2847,3.2664371855538055
822336,400,2532,EStreet20,4.0,3668,1299,3.3975509777220303
158025,3818,36179,EStreet20,4.5,3668,18541,4.051166998972096
601386,1549,53980,JoeyBeerBelly,4.0,5891,28578,4.6403123046835635
515723,113,576,JoeyBeerBelly,4.5,5891,306,3.984783541609523
367999,22,694,JoeyBeerBelly,4.0,5891,363,3.9924892437155335
636157,30,2894,JoeyBeerBelly,4.0,5891,1499,3.976081511090285
610421,106,44315,JoeyBeerBelly,3.5,5891,23059,3.729057255125864
960659,285,776,joezak5,3.5,19811,418,4.319668706592401
649258,30,28204,joezak5,4.0,19811,14531,4.107811220224923
233642,1628,8543,joezak5,3.5,19811,4598,4.335460893313154
51901,394,20539,joezak5,4.5,19811,10454,4.198810494855416
25341,1199,7463,joezak5,4.0,19811,3982,4.319550829425979
866587,127,1130,magictrokini,3.5,21391,578,3.3241799022073044
664909,5855,27462,magictrokini,3.0,21391,14116,3.435172142634368
504577,132,39361,magictrokini,3.5,21391,20199,3.855158814206466
500397,132,26031,magictrokini,2.5,21391,13338,3.060087082187622
509139,132,35404,magictrokini,4.5,21391,18168,3.9696508630679297
795109,187,601,Mora2000,4.0,7435,320,4.105799068143822
796668,187,599,Mora2000,4.0,7435,318,3.997062978574506
800335,18149,42816,Mora2000,4.5,7435,22204,4.7935918611107
803959,18149,55992,Mora2000,4.5,7435,29750,4.5266789162207015
132592,5318,54547,Mora2000,4.5,7435,28893,4.654779202993274
174566,94,3128,ngeunit1,3.5,23013,1628,4.096623462800678
175498,94,55960,ngeunit1,4.0,23013,29734,4.345966804055626
176550,94,270,ngeunit1,3.5,23013,138,4.106789263707642
173697,94,273,ngeunit1,4.5,23013,141,4.525717485887237
175104,94,3636,ngeunit1,3.0,23013,1844,3.3263184714385345
257339,4051,19357,OStrungT,4.0,7970,9854,3.833635489958207
76515,140,68958,OStrungT,3.0,7970,37429,3.998777766605946
89469,140,63152,OStrungT,3.5,7970,33946,4.219504658912473
578751,2210,41121,OStrungT,4.5,7970,21209,4.656644323848964
870841,147,62254,OStrungT,4.5,7970,33389,3.870497244433569
24225,1199,25852,phichifiji00,4.5,23856,13218,4.172019237730791
62285,16866,51741,phichifiji00,4.0,23856,27393,4.188215285484905
159187,3818,49286,phichifiji00,4.5,23856,25980,3.918268850453352
61811,16866,53728,phichifiji00,5.0,23856,28433,4.386924681369789
60807,16866,74537,phichifiji00,4.5,23856,40948,4.474755377631812
763081,144,27328,rallison,4.0,24383,14041,3.7447617960987163
741888,266,1443,rallison,4.0,24383,733,4.122294269458987
136168,5318,31613,rallison,4.5,24383,16229,4.266515473339893
697268,130,6590,rallison,3.5,24383,3502,3.7035413167713465
644798,30,7850,rallison,4.5,24383,4201,3.978016429539735
964470,2594,8012,santa109,3.5,25187,4290,3.951486683072297
244743,780,7700,santa109,2.5,25187,4122,3.0782855554722026
964701,2594,18643,santa109,3.5,25187,9517,3.6706330347284846
255992,1141,16558,santa109,5.0,25187,8445,4.423694371076563
252156,1141,25804,santa109,4.5,25187,13197,4.326185817207291
505189,132,56973,santoslhalper,4.5,25192,30379,4.079583193901381
43485,263,1324,santoslhalper,4.0,25192,664,3.959781792845053
485166,388,1632,santoslhalper,4.5,25192,835,4.140871122863592
992568,208,674,santoslhalper,4.5,25192,356,4.055593521612179
344374,37,129,santoslhalper,4.5,25192,71,3.985390105926136
193445,2743,34085,scottoale,4.0,25373,17470,4.2414120629079495
755330,3521,9630,scottoale,3.5,25373,5144,3.977842985245875
755541,3521,26511,scottoale,4.0,25373,13586,3.9385647555640477
629221,262,39043,scottoale,4.0,25373,20031,4.281138021737414
999531,10707,37259,scottoale,1.0,25373,19118,2.369077543976227
208262,192,30538,StarlightSeraph,2.5,9966,15654,3.4551494644751095
